Date,CSI300,S&P500
9/1/08,2309.17,1267.790039
9/2/08,2285.41,1224.51001
9/3/08,2245.96,1232.040039
9/4/08,2251.15,1249.050049
9/5/08,2183.43,1251.699951
9/8/08,2126.52,1192.699951
9/9/08,2139.15,1213.599976
9/10/08,2143.18,1156.390015
9/11/08,2072.13,1206.51001
9/12/08,2077.85,1255.079956
9/16/08,2000.65,1207.089966
9/17/08,1929.14,1188.219971
9/18/08,1895.99,1185.869995
9/19/08,2073.11,1209.180054
9/22/08,2207.61,1213.27002
9/23/08,2123.48,1106.420044
9/24/08,2138.85,1166.359985
9/25/08,2223.53,1161.060059
9/26/08,2243.66,1114.280029
10/6/08,2128.7,1099.22998
10/7/08,2102.45,1056.890015
10/8/08,2022.88,996.22998
10/9/08,1995.3,984.940002
10/10/08,1906.96,909.919983
10/13/08,1985.49,899.219971
10/14/08,1934.62,1003.349976
10/15/08,1914.36,998.01001
10/16/08,1820.9,907.840027
10/17/08,1833.26,946.429993
10/20/08,1896.73,940.549988
10/21/08,1881.41,985.400024
10/22/08,1833.32,955.049988
10/23/08,1834.78,896.780029
10/24/08,1781.6,908.109985
10/27/08,1654.67,876.77002
10/28/08,1705.82,848.919983
10/29/08,1658.22,940.51001
10/30/08,1697.66,930.090027
10/31/08,1663.66,954.090027
11/3/08,1653.54,968.75
11/4/08,1627.76,966.299988
11/5/08,1691.42,1005.75
11/6/08,1649.78,952.77002
11/7/08,1677.83,904.880005
11/10/08,1801.67,930.98999
11/11/08,1781.36,919.210022
11/12/08,1801.82,898.950012
11/13/08,1874.08,852.299988
11/14/08,1943.65,911.289978
11/17/08,1987.22,873.289978
11/18/08,1839.82,850.75
11/19/08,1953.16,859.119995
11/20/08,1932.43,806.580017
11/21/08,1920.73,752.440002
11/24/08,1837.64,800.030029
11/25/08,1834.29,851.809998
11/26/08,1843.49,857.390015
11/27/08,1870.47,887.679993
11/28/08,1829.92,896.23999
12/1/08,1864.2,816.210022
12/2/08,1868.63,848.809998
12/3/08,1952.67,870.73999
12/4/08,1982.93,845.219971
12/5/08,2013.18,876.070007
12/8/08,2095.04,909.700012
12/9/08,2040.85,888.669983
12/10/08,2096.39,899.23999
12/11/08,2046.34,873.590027
12/12/08,1960.38,879.72998
12/15/08,1975.03,868.570007
12/16/08,1994.45,913.179993
12/17/08,2001.42,904.419983
12/18/08,2045.1,885.280029
12/19/08,2052.11,887.880005
12/22/08,2017.55,871.630005
12/23/08,1918.95,863.159973
12/24/08,1887.07,868.150024
12/25/08,1870.77,872.799988
12/26/08,1862.1,869.419983
12/29/08,1854.76,890.640015
12/30/08,1833.44,903.25
12/31/08,1817.72,931.799988
1/5/09,1882.96,927.450012
1/6/09,1942.8,934.700012
1/7/09,1931.18,906.650024
1/8/09,1887.99,909.72998
1/9/09,1918.36,890.349976
1/12/09,1920.69,870.26001
1/13/09,1876.19,871.789978
1/14/09,1955.24,842.619995
1/15/09,1954.87,843.73999
1/16/09,1990.21,850.119995
1/19/09,2012.46,805.219971
1/20/09,2025.19,840.23999
1/21/09,2021.71,827.5
1/22/09,2044.55,831.950012
1/23/09,2032.68,836.570007
1/26/09,2032.68,845.710022
1/27/09,2032.68,874.090027
1/28/09,2032.68,845.140015
1/29/09,2032.68,825.880005
1/30/09,2032.68,825.440002
2/2/09,2057.06,838.51001
2/3/09,2108.91,832.22998
2/4/09,2166.41,845.849976
2/5/09,2150.97,868.599976
2/6/09,2237.28,869.890015
2/9/09,2296.67,827.159973
2/10/09,2326.75,833.73999
2/11/09,2331.14,835.190002
2/12/09,2318.34,826.840027
2/13/09,2399.06,789.169983
2/16/09,2462.25,788.419983
2/17/09,2385.29,778.940002
2/18/09,2275.84,770.049988
2/19/09,2298.41,743.330017
2/20/09,2344.32,773.140015
2/23/09,2410.48,764.900024
2/24/09,2301.85,752.830017
2/25/09,2304.25,735.090027
2/26/09,2190.19,700.820007
2/27/09,2140.49,696.330017
3/2/09,2164.67,712.869995
3/3/09,2142.15,682.549988
3/4/09,2285.15,683.380005
3/5/09,2304.92,676.530029
3/6/09,2286.58,719.599976
3/9/09,2202.53,721.359985
3/10/09,2240.78,750.73999
3/11/09,2220.38,756.549988
3/12/09,2215.7,753.890015
3/13/09,2205.42,778.119995
3/16/09,2241.61,794.349976
3/17/09,2322.4,784.039978
3/18/09,2332.65,768.539978
3/19/09,2382.56,822.919983
3/20/09,2379.84,806.119995
3/23/09,2439.4,813.880005
3/24/09,2451.78,832.859985
3/25/09,2401.33,815.940002
3/26/09,2479.79,787.530029
3/27/09,2498.93,797.869995
3/30/09,2484.49,811.080017
3/31/09,2507.79,834.380005
4/1/09,2548.22,842.5
4/2/09,2576.4,835.47998
4/3/09,2570.5,815.549988
4/6/09,2570.5,825.159973
4/7/09,2576.95,856.559998
4/8/09,2479.35,858.72998
4/9/09,2517.67,841.5
4/10/09,2595.53,852.059998
4/13/09,2656.52,865.299988
4/14/09,2676.87,869.599976
4/15/09,2686.99,832.390015
4/16/09,2687.11,850.080017
4/17/09,2650.69,843.549988
4/20/09,2707.67,851.919983
4/21/09,2675.44,866.22998
4/22/09,2576.28,857.51001
4/23/09,2593.56,855.159973
4/24/09,2572.89,873.640015
4/27/09,2513.29,872.809998
4/28/09,2518.53,877.52002
4/29/09,2605.37,907.23999
4/30/09,2622.93,903.799988
5/1/09,2622.93,919.530029
5/4/09,2714.3,907.390015
5/5/09,2727.01,929.22998
5/6/09,2764.98,909.23999
5/7/09,2767.08,908.349976
5/8/09,2789.22,883.919983
5/11/09,2725.32,893.070007
5/12/09,2788.56,882.880005
5/13/09,2814,909.710022
5/14/09,2792.6,908.130005
5/15/09,2796.12,903.469971
5/18/09,2810.57,888.330017
5/19/09,2840.08,887
5/20/09,2812.86,910.330017
5/21/09,2750.01,893.059998
5/22/09,2740.68,906.830017
5/25/09,2752.72,919.140015
5/26/09,2719.76,942.869995
5/27/09,2759.71,944.73999
5/28/09,2759.71,931.76001
5/29/09,2759.71,942.460022
6/1/09,2858.34,940.090027
6/2/09,2865.1,939.140015
6/3/09,2939.39,942.429993
6/4/09,2953.75,939.150024
6/5/09,2939.31,944.890015
6/8/09,2948.48,946.210022
6/9/09,2960.56,923.719971
6/10/09,2989.59,911.969971
6/11/09,2961.63,910.710022
6/12/09,2906.29,918.369995
6/15/09,2966.19,921.22998
6/16/09,2961.22,893.039978
6/17/09,3010.59,895.099976
6/18/09,3057.43,900.940002
6/19/09,3080,920.26001
6/22/09,3082.56,918.900024
6/23/09,3083.9,927.22998
6/24/09,3120.73,919.320007
6/25/09,3117.92,923.330017
6/26/09,3128.42,896.419983
6/29/09,3179.97,898.719971
6/30/09,3166.47,881.030029
7/1/09,3237.9,879.559998
7/2/09,3282.36,882.679993
7/3/09,3327.14,879.130005
7/6/09,3374.75,901.049988
7/7/09,3340.49,905.840027
7/8/09,3352.27,932.679993
7/9/09,3396.3,940.73999
7/10/09,3398.31,940.380005
7/13/09,3361.01,951.130005
7/14/09,3454.75,954.580017
7/15/09,3493.3,954.070007
7/16/09,3501.24,976.289978
7/17/09,3519.81,979.26001
7/20/09,3591.12,982.179993
7/21/09,3539.83,979.619995
7/22/09,3606.92,975.150024
7/23/09,3651.97,986.75
7/24/09,3667.56,987.47998
7/27/09,3743.63,1002.630005
7/28/09,3755.82,1005.650024
7/29/09,3558.51,1002.719971
7/30/09,3634.82,997.080017
7/31/09,3734.62,1010.47998
8/3/09,3787.03,1007.099976
8/4/09,3786.61,994.349976
8/5/09,3740.94,1005.809998
8/6/09,3663.12,1012.72998
8/7/09,3555.09,1004.090027
8/10/09,3544.54,979.72998
8/11/09,3556.38,989.669983
8/12/09,3397.4,996.460022
8/13/09,3440.82,1007.369995
8/14/09,3344.46,1026.130005
8/17/09,3140.27,1025.569946
8/18/09,3171.99,1028
8/19/09,3014.57,1028.119995
8/20/09,3144.39,1030.97998
8/21/09,3203.62,1028.930054
8/24/09,3229.6,1020.619995
8/25/09,3109.83,998.039978
8/26/09,3172.39,994.75
8/27/09,3156.3,1003.23999
8/28/09,3046.78,1016.400024
8/31/09,2830.27,1025.390015
9/1/09,2843.7,1033.369995
9/2/09,2890.93,1044.140015
9/3/09,3051.96,1042.72998
9/4/09,3077.14,1049.339966
9/7/09,3104.21,1052.630005
9/8/09,3170.97,1068.76001
9/9/09,3194.91,1065.48999
9/10/09,3162.91,1068.300049
9/11/09,3238.13,1064.660034
9/14/09,3293.39,1071.660034
9/15/09,3302.64,1060.869995
9/16/09,3258.24,1050.780029
9/17/09,3320.1,1044.380005
9/18/09,3199.69,1062.97998
9/21/09,3208.6,1060.609985
9/22/09,3131.03,1057.079956
9/23/09,3060.07,1029.849976
9/24/09,3080.93,1025.209961
9/25/09,3058.53,1040.459961
9/28/09,2972.64,1054.719971
9/29/09,2972.29,1057.579956
9/30/09,3004.8,1065.47998
10/1/09,3004.8,1071.48999
10/2/09,3004.8,1076.189941
10/5/09,3004.8,1073.189941
10/6/09,3004.8,1092.02002
10/7/09,3004.8,1096.560059
10/8/09,3062.84,1087.680054
10/9/09,3163.71,1097.910034
10/12/09,3151.63,1091.060059
10/13/09,3198.52,1081.400024
10/14/09,3227.4,1092.910034
10/15/09,3239.64,1079.599976
10/16/09,3241.71,1066.949951
10/19/09,3329.16,1063.410034
10/20/09,3377.57,1042.630005
10/21/09,3369.28,1066.109985
10/22/09,3347.32,1036.189941
10/23/09,3413.25,1042.880005
10/26/09,3414.24,1045.410034
10/27/09,3314.72,1046.5
10/28/09,3329.33,1066.630005
10/29/09,3247.05,1069.300049
10/30/09,3280.37,1093.079956
11/2/09,3392.8,1093.01001
11/3/09,3435.43,1098.51001
11/4/09,3453.89,1087.23999
11/5/09,3464.32,1093.47998
11/6/09,3483.02,1109.300049
11/9/09,3495.79,1110.319946
11/10/09,3503.78,1109.800049
11/11/09,3495.67,1094.900024
11/12/09,3499.99,1091.380005
11/13/09,3518.72,1106.23999
11/16/09,3625.8,1105.650024
11/17/09,3628.35,1110.630005
11/18/09,3630.23,1091.48999
11/19/09,3642.44,1095.630005
11/20/09,3631.01,1108.859985
11/23/09,3665.51,1109.23999
11/24/09,3548.08,1099.920044
11/25/09,3629.63,1105.97998
11/26/09,3485.77,1103.25
11/27/09,3382.51,1091.939941
11/30/09,3511.67,1095.949951
12/1/09,3560.83,1102.349976
12/2/09,3597.33,1106.410034
12/3/09,3590.88,1114.109985
12/4/09,3643.49,1107.930054
12/7/09,3668.83,1109.180054
12/8/09,3624.02,1096.079956
12/9/09,3554.48,1102.469971
12/10/09,3577.24,1114.050049
12/11/09,3575.02,1118.02002
12/14/09,3612.75,1120.589966
12/15/09,3583.34,1126.47998
12/16/09,3560.72,1127.780029
12/17/09,3480.15,1126.199951
12/18/09,3391.74,1126.420044
12/21/09,3396.62,1115.099976
12/22/09,3305.54,1132.98999
12/23/09,3336.48,1136.52002
12/24/09,3438.82,1137.140015
12/25/09,3424.78,1141.689941
12/28/09,3478.43,1144.97998
12/29/09,3500.74,1146.97998
12/30/09,3558.86,1136.219971
12/31/09,3575.68,1145.680054
1/4/10,3535.23,1148.459961
1/5/10,3564.04,1136.030029
1/6/10,3541.73,1150.22998
1/7/10,3471.46,1138.040039
1/8/10,3480.13,1116.47998
1/11/10,3482.05,1091.76001
1/12/10,3534.92,1096.780029
1/13/10,3421.14,1092.170044
1/14/10,3469.05,1097.5
1/15/10,3482.74,1084.530029
1/18/10,3500.68,1073.869995
1/19/10,3507.48,1089.189941
1/20/10,3394.43,1103.319946
1/21/10,3408.57,1097.280029
1/22/10,3366.2,1063.109985
1/25/10,3328.01,1066.189941
1/26/10,3242.8,1056.73999
1/27/10,3198.57,1070.52002
1/28/10,3206.57,1068.130005
1/29/10,3204.16,1078.469971
2/1/10,3152.71,1075.51001
2/2/10,3146.19,1094.869995
2/3/10,3230.72,1099.51001
2/4/10,3218.8,1106.75
2/5/10,3153.09,1109.170044
2/8/10,3150.99,1108.01001
2/9/10,3169.19,1094.599976
2/10/10,3214.13,1105.23999
2/11/10,3220.4,1102.939941
2/12/10,3251.28,1104.48999
2/15/10,3251.28,1115.709961
2/16/10,3251.28,1118.310059
2/17/10,3251.28,1118.790039
2/18/10,3251.28,1122.969971
2/22/10,3233.34,1138.699951
2/23/10,3198.63,1138.5
2/24/10,3244.48,1140.449951
2/25/10,3292.13,1145.609985
2/26/10,3281.67,1150.23999
3/1/10,3324.42,1149.98999
3/2/10,3311.24,1150.51001
3/3/10,3335.08,1159.459961
3/4/10,3250.57,1166.209961
3/5/10,3259.76,1165.829956
3/8/10,3286.18,1159.900024
3/9/10,3305.86,1165.810059
3/10/10,3279.69,1174.170044
3/11/10,3276.71,1167.719971
3/12/10,3233.13,1165.72998
3/15/10,3183.18,1166.589966
3/16/10,3203.97,1173.219971
3/17/10,3273.92,1173.27002
3/18/10,3267.55,1169.430054
3/19/10,3293.87,1178.099976
3/22/10,3302.63,1187.439941
3/23/10,3275.57,1189.439941
3/24/10,3276.67,1182.449951
3/25/10,3229.13,1186.439941
3/26/10,3275,1194.369995
3/29/10,3358.54,1196.47998
3/30/10,3366.71,1197.300049
3/31/10,3345.61,1210.650024
4/1/10,3391.94,1211.670044
4/2/10,3407.35,1192.130005
4/6/10,3405.15,1197.52002
4/7/10,3386.95,1207.170044
4/8/10,3346.74,1205.939941
4/9/10,3379.17,1208.670044
4/12/10,3351.48,1217.280029
4/13/10,3391.72,1212.050049
4/14/10,3403.71,1183.709961
4/15/10,3394.57,1191.359985
4/16/10,3356.33,1206.780029
4/19/10,3176.42,1186.689941
